GeneID x28cell1cds x28cell2cds x28cell3cds blastula2cds blastula3cds dlarv1cds dlarv2cds dlarv3cds gastrula1cds gastrula2cds gastrula3cds morula1cds morula2cds ovo1cds ovo2cds spat1cds spat2cds spat3cds troc1cds troc2cds
CGI_10000009 2 4 4 0 1 0 0 0 0 0 0 0 0 1 2 2 1 0 1 0
CGI_10000013 10 12 6 11 9 23 13 7 17 25 18 18 20 21 10 33 25 22 24 8
CGI_10000014 23 6 31 1 0 3 0 0 0 0 0 0 1 2 4 9 3 5 3 0
CGI_10000015 5 5 8 7 9 8 11 7 10 29 18 11 19 14 0 20 5 27 24 19
CGI_10000028 2 2 2 3 0 2 4 4 8 8 13 12 0 7 0 1 0 0 8 1
CGI_10000033 8 5 15 10 5 9 7 8 9 16 15 9 8 4 0 10 10 15 19 29
CGI_10000035 2 1 0 2 5 5 3 1 2 5 4 6 3 5 1 1 0 1 6 2
CGI_10000038 5 5 4 2 1 5 5 3 6 9 5 3 4 7 2 24 5 13 13 3
CGI_10000041 4 2 0 11 4 6 16 7 4 12 7 5 1 3 0 3 1 1 10 3
CGI_10000048 71 18 86 13 3 4 2 4 3 8 13 5 4 15 9 41 18 22 13 4
CGI_10000049 4 8 1 5 4 11 11 10 10 20 10 9 7 9 0 0 0 1 16 6
CGI_10000050 5 7 3 11 13 20 26 16 21 25 31 30 21 5 1 25 25 32 41 19
CGI_10000051 1 4 0 4 1 5 5 4 4 4 9 6 7 5 0 0 0 0 9 6
CGI_10000058 5 3 0 2 2 8 2 3 3 1 3 3 2 0 0 1 0 4 8 2
CGI_10000059 3 9 2 9 3 3 9 6 14 28 16 8 12 2 2 33 29 32 20 12
CGI_10000063 1 8 0 8 5 10 8 3 6 18 12 7 4 8 2 15 8 13 20 8
CGI_10000070 6 5 2 6 7 8 9 8 12 15 11 11 7 10 1 7 10 10 12 10
CGI_10000072 2 9 4 8 9 26 18 12 16 22 26 37 14 15 1 23 19 9 58 26
CGI_10000074 1 12 1 5 3 4 4 2 6 8 11 2 3 2 0 5 0 3 12 1
CGI_10000076 2 2 1 0 0 1 2 1 4 4 8 5 1 6 0 0 0 0 7 0
CGI_10000077 6 9 7 11 7 7 7 7 7 21 15 7 17 13 2 1 0 2 15 6
CGI_10000082 0 3 0 0 0 0 11 3 2 2 2 3 0 1 0 0 0 0 4 3
CGI_10000085 7 11 8 13 14 24 36 16 10 37 32 27 24 13 1 32 14 22 60 28
CGI_10000086 1 4 1 0 0 1 4 1 4 9 4 3 3 3 0 2 0 1 10 5
CGI_10000087 2 3 4 0 0 2 3 3 1 6 4 1 3 9 0 1 0 2 5 3
CGI_10000090 7 10 9 3 2 16 9 9 7 3 9 15 7 1 0 13 23 2 22 9
CGI_10000093 3 2 0 4 1 3 3 1 3 4 4 5 7 4 0 0 1 0 4 2
CGI_10000098 7 8 7 7 11 8 15 3 16 10 23 12 12 11 2 2 11 4 20 7
CGI_10000101 2 7 2 5 6 8 15 6 12 10 22 7 6 8 0 0 1 0 23 10
CGI_10000102 0 2 2 1 3 0 2 0 5 9 8 3 4 1 0 0 0 1 1 0
CGI_10000109 41 13 90 3 7 25 24 10 12 15 24 30 12 7 3 60 61 101 41 24
CGI_10000113 7 1 2 6 6 14 12 5 6 14 15 5 15 12 3 25 12 22 20 9
CGI_10000119 13 2 12 0 1 1 1 1 2 3 2 0 1 0 0 4 1 2 1 1
CGI_10000120 1 4 3 4 1 2 1 0 0 5 3 1 0 3 1 0 0 0 1 1
CGI_10000122 4 4 5 3 3 2 5 2 2 5 6 2 6 1 0 0 0 0 14 3
CGI_10000124 3 11 5 6 2 7 10 6 7 18 13 6 8 3 1 4 9 15 10 6
