"28cell1gen" "28cell2gen" "28cell3gen" "blastula2gen" "blastula3gen" "dlarv1gen" "dlarv2gen" "dlarv3gen" "gastrula1gen" "gastrula2gen" "gastrula3gen" "morula1gen" "morula2gen" "ovo1gen" "ovo2gen" "spat1gen" "spat2gen" "spat3gen" "troc1gen" "troc2gen"
"CGI_10000009" 2 4 4 0 1 0 0 0 0 0 0 0 0 1 2 2 1 0 1 0
"CGI_10000013" 10 12 6 11 9 23 13 7 17 25 18 18 20 21 10 33 25 22 24 8
"CGI_10000014" 23 6 31 1 0 3 0 0 0 0 0 0 1 2 4 9 3 5 3 0
"CGI_10000015" 5 5 10 7 11 9 11 7 10 32 20 12 20 14 0 20 5 28 25 19
"CGI_10000028" 2 2 2 4 0 2 4 4 8 10 15 12 0 7 0 1 0 0 8 1
"CGI_10000031" 4 1 0 1 3 0 2 0 2 3 2 3 1 2 2 0 0 0 4 1
"CGI_10000033" 10 9 18 15 7 15 12 10 13 24 24 16 15 12 0 11 12 16 28 31
"CGI_10000035" 2 1 0 2 5 5 3 1 2 5 4 6 3 5 1 1 0 1 6 2
"CGI_10000038" 5 5 4 2 1 5 5 3 6 10 5 3 4 7 2 23 5 13 13 3
"CGI_10000041" 6 2 0 11 6 6 17 7 4 13 8 6 2 7 0 3 1 1 12 3
"CGI_10000048" 72 18 88 13 3 4 2 4 3 8 13 5 4 15 9 41 18 22 13 4
"CGI_10000049" 5 13 2 6 5 12 14 10 10 20 10 9 7 9 0 0 0 1 18 8
"CGI_10000050" 5 7 5 11 14 20 26 16 21 25 31 30 21 5 1 25 25 32 40 19
"CGI_10000051" 1 6 0 4 1 5 5 4 5 4 9 7 7 5 0 0 0 0 11 6
"CGI_10000058" 5 3 0 2 2 8 3 3 3 1 3 3 2 0 0 1 0 3 9 2
"CGI_10000059" 3 9 2 9 3 3 9 6 13 28 16 8 12 2 2 33 29 32 20 12
"CGI_10000063" 1 11 1 9 8 12 8 3 6 19 12 7 4 8 2 15 8 13 22 9
"CGI_10000070" 6 5 2 7 8 8 9 8 14 15 13 11 8 10 1 7 10 10 12 10
"CGI_10000071" 0 1 1 1 2 3 2 0 2 5 5 8 2 3 2 2 0 3 3 2
"CGI_10000072" 2 9 4 8 9 26 19 13 18 23 26 38 16 16 1 23 19 9 59 28
"CGI_10000074" 1 12 1 5 3 4 4 2 6 8 11 2 3 2 0 5 0 3 12 1
"CGI_10000076" 2 2 1 0 0 1 2 1 4 4 8 5 1 6 0 0 0 0 7 0
"CGI_10000077" 8 9 7 11 7 7 8 7 7 21 15 7 17 12 2 1 0 2 15 6
"CGI_10000082" 0 3 0 0 0 0 11 3 2 3 2 3 0 1 0 0 0 0 4 3
"CGI_10000085" 9 12 20 18 20 28 38 16 13 41 38 33 30 15 1 32 14 23 68 33
"CGI_10000086" 2 4 1 0 0 1 4 1 5 9 5 3 3 4 0 2 0 1 11 5
"CGI_10000087" 2 3 4 0 0 2 3 3 1 6 4 1 3 9 0 1 0 2 5 3
"CGI_10000090" 7 10 9 3 2 16 9 9 7 3 9 15 7 1 0 13 23 2 22 9
"CGI_10000093" 3 2 0 4 1 3 3 1 3 4 4 5 7 4 0 0 1 0 4 2
"CGI_10000098" 7 8 7 7 11 8 16 3 20 10 24 12 15 11 2 2 11 4 20 7
"CGI_10000101" 1 7 3 5 6 9 16 6 13 10 22 7 7 8 0 1 1 0 29 12
"CGI_10000102" 0 5 2 1 4 1 2 0 5 14 10 3 4 1 0 0 0 1 3 2
"CGI_10000109" 41 13 90 3 7 25 24 10 12 15 24 30 12 7 3 60 61 101 41 24
"CGI_10000113" 9 3 8 7 7 17 12 6 9 18 17 9 16 14 3 25 12 22 24 12
