GeneID x28cell1int x28cell2int x28cell3int blastula2int blastula3int dlarv1int dlarv2int dlarv3int gastrula1int gastrula2int gastrula3int morula1int morula2int ovo1int ovo2int spat1int spat2int spat3int troc1int troc2int
CGI_10000015 5 5 10 4 10 6 11 4 7 26 16 9 14 11 0 12 3 18 20 16
CGI_10000028 1 2 2 3 0 1 2 1 4 4 6 4 0 6 0 0 0 0 0 0
CGI_10000031 4 1 0 1 3 0 2 0 2 2 2 3 1 2 2 0 0 0 3 1
CGI_10000033 6 9 12 14 6 14 11 7 11 21 22 14 15 12 0 7 8 13 27 29
CGI_10000038 3 2 4 1 1 5 5 3 6 7 4 3 3 7 1 21 4 12 12 3
CGI_10000041 6 2 0 9 5 6 14 6 4 12 4 6 2 5 0 2 1 1 11 2
CGI_10000048 14 7 25 5 1 3 0 2 1 3 6 1 1 6 8 14 4 5 1 1
CGI_10000049 3 12 2 6 3 12 12 10 10 17 8 7 7 9 0 0 0 1 16 7
CGI_10000050 4 7 5 9 14 19 26 16 21 26 31 30 21 5 1 25 25 32 40 19
CGI_10000051 1 6 0 4 1 5 4 4 4 4 8 6 6 5 0 0 0 0 10 4
CGI_10000058 5 3 0 2 2 8 3 3 3 1 3 3 2 0 0 1 0 3 9 2
CGI_10000059 2 7 0 4 0 2 2 3 3 6 7 0 4 1 0 8 7 8 7 6
CGI_10000063 1 11 1 9 8 9 5 2 6 14 8 5 3 8 2 15 8 13 15 7
CGI_10000070 4 5 0 3 8 8 9 6 13 14 12 9 8 8 0 5 7 9 11 7
CGI_10000071 0 1 1 1 2 3 2 0 2 5 5 8 2 3 2 2 0 3 3 2
CGI_10000072 2 8 3 6 7 23 17 13 14 18 18 32 13 12 1 21 17 9 46 25
CGI_10000077 8 5 6 10 6 4 6 4 5 15 10 7 10 6 2 1 0 2 10 3
CGI_10000082 0 3 0 0 0 0 10 3 1 2 2 2 0 1 0 0 0 0 1 2
CGI_10000085 7 12 19 18 20 28 36 16 13 37 32 32 30 14 1 32 14 23 67 32
CGI_10000086 2 0 0 0 0 1 2 0 4 2 1 3 2 3 0 0 0 0 8 3
CGI_10000093 3 2 0 4 1 3 3 1 3 4 4 5 7 4 0 0 1 0 4 2
CGI_10000098 6 6 7 7 10 6 16 3 19 10 18 12 15 11 2 2 10 3 19 7
CGI_10000101 1 6 3 5 5 5 14 3 11 10 15 4 7 8 0 1 1 0 24 6
CGI_10000102 0 5 2 1 3 1 2 0 5 14 10 3 4 1 0 0 0 1 3 2
CGI_10000113 8 3 7 6 7 17 10 6 8 16 17 9 14 10 3 24 11 22 20 11
CGI_10000119 5 1 8 0 1 1 1 0 2 0 1 0 1 0 0 2 1 2 1 0
CGI_10000122 4 4 5 3 4 2 6 2 1 6 8 2 5 1 0 0 0 0 15 3
CGI_10000124 4 7 6 5 1 6 10 8 12 20 12 8 8 5 1 1 3 10 11 7
CGI_10000125 12 5 8 2 5 3 5 2 6 5 6 2 5 8 1 0 0 0 5 2
CGI_10000126 2 1 0 2 2 1 7 2 2 8 2 6 3 4 1 4 2 1 10 3
CGI_10000128 2 1 0 3 2 0 2 2 2 3 4 4 2 2 0 0 0 0 6 0
CGI_10000129 2 1 0 5 3 2 3 0 2 5 5 3 5 3 2 1 0 0 6 0
CGI_10000130 14 8 26 3 7 7 5 4 7 7 4 10 9 0 0 9 6 4 13 10
CGI_10000135 0 14 4 9 12 7 8 12 4 23 18 5 9 12 1 0 0 0 14 7
CGI_10000138 2 8 4 5 2 6 4 9 6 9 6 14 11 2 1 1 0 2 15 7
CGI_10000139 0 3 6 3 5 3 9 3 7 4 7 8 9 5 1 13 11 18 12 19
CGI_10000147 1 8 1 5 4 7 9 6 5 11 3 10 6 6 0 4 13 8 18 9
CGI_10000157 3 5 6 3 1 7 5 7 5 13 14 10 10 3 0 0 0 2 17 6
CGI_10000163 2 8 0 5 4 8 8 6 5 14 7 2 5 4 0 0 0 0 7 2
CGI_10000166 2 4 1 5 1 5 2 0 1 5 1 5 3 2 1 1 2 1 5 2
CGI_10000170 2 4 3 7 6 11 15 4 10 15 5 10 7 9 0 1 0 0 16 9
CGI_10000174 19 3 8 12 14 16 21 15 13 29 20 26 22 5 1 3 2 1 41 24
CGI_10000175 5 4 1 4 5 3 7 5 6 11 10 6 10 8 0 0 1 1 14 10
CGI_10000176 2 0 0 4 1 1 0 0 0 1 2 2 0 5 3 0 0 1 3 2
CGI_10000181 2 0 2 13 4 4 5 2 6 17 7 4 5 4 1 2 1 1 7 2
CGI_10000191 23 23 19 15 17 29 35 16 16 34 42 44 27 6 6 71 46 96 76 45
CGI_10000192 1 0 3 6 8 7 9 3 4 16 8 8 2 10 0 30 35 29 17 11
CGI_10000194 12 11 12 16 5 15 18 10 15 18 24 15 13 16 10 5 4 3 20 18
CGI_10000195 8 9 17 10 8 12 20 17 16 26 33 10 14 8 2 3 3 2 43 10
CGI_10000198 39 8 49 10 8 32 15 18 23 34 34 29 30 3 0 88 52 70 65 26
CGI_10000199 2 13 11 13 12 12 10 11 14 30 33 17 13 7 1 28 33 21 24 11
CGI_10000209 2 3 7 3 2 3 5 1 4 1 3 8 5 7 0 0 0 0 8 1
CGI_10000210 1 4 0 1 2 3 6 0 1 7 7 2 1 3 1 0 0 0 8 2
CGI_10000211 1 12 6 7 13 16 13 12 23 31 21 21 16 9 1 8 2 8 43 13
CGI_10000218 5 14 8 7 7 11 11 7 7 15 10 23 10 4 2 8 11 12 20 15
CGI_10000224 0 3 2 0 1 0 1 3 2 7 3 3 2 6 2 4 0 2 4 3
CGI_10000227 0 2 2 0 1 1 0 0 3 0 8 1 2 3 2 11 2 3 3 0
CGI_10000235 2 4 1 4 9 5 4 6 3 8 11 9 2 11 1 4 1 4 18 8
CGI_10000237 29 39 30 38 45 70 48 27 57 87 76 66 50 48 5 22 12 17 140 60
CGI_10000242 4 19 7 12 18 27 26 16 20 33 24 20 17 18 1 3 4 3 46 16
CGI_10000244 3 0 0 0 1 2 4 5 1 2 1 0 4 1 0 1 0 4 2 3
CGI_10000249 3 2 3 3 3 6 8 2 2 8 7 12 9 4 3 4 0 0 13 6
CGI_10000258 15 9 7 11 12 22 25 18 16 16 10 35 12 4 2 9 5 4 38 30
CGI_10000259 8 21 6 25 21 34 35 30 39 46 42 37 42 31 2 9 4 2 69 28
