GeneID 28cell1pro 28cell2pro 28cell3pro blastula2pro blastula3pro dlarv1pro dlarv2pro dlarv3pro gastrula1pro gastrula2pro gastrula3pro morula1pro morula2pro ovo1pro ovo2pro spat1pro spat2pro spat3pro troc1pro troc2pro
CGI_10000009 2 4 6 0 1 0 0 0 2 0 0 0 0 2 2 3 2 0 2 0
CGI_10000014 61 11 83 4 11 11 10 0 9 8 8 3 3 8 9 75 39 32 21 5
CGI_10000048 47 17 62 5 1 2 2 0 2 5 7 4 4 7 1 32 16 17 14 2
CGI_10000059 2 1 2 4 3 1 8 3 8 17 11 7 6 1 2 25 17 23 13 6
CGI_10000068 70 31 75 4 5 2 8 1 8 6 5 4 6 8 1 76 27 7 9 3
CGI_10000072 1 1 4 2 5 8 4 1 6 6 10 10 4 10 0 3 3 2 12 8
CGI_10000074 0 9 0 6 1 3 4 3 8 1 11 3 0 2 0 11 2 7 6 1
CGI_10000100 1 9 2 5 2 1 4 0 3 8 7 5 10 0 3 0 0 1 14 6
CGI_10000120 4 3 2 9 0 4 7 4 3 11 2 5 0 3 0 0 0 0 9 5
CGI_10000122 1 4 4 2 3 2 4 2 0 3 6 1 4 0 0 0 0 0 11 1
CGI_10000129 2 2 0 3 1 2 2 1 2 7 0 2 7 2 4 2 0 0 3 1
CGI_10000135 0 0 0 2 2 2 0 0 0 7 3 2 1 5 0 0 0 0 3 1
CGI_10000140 0 2 1 1 1 2 1 1 0 4 4 5 2 2 0 0 0 2 8 0
CGI_10000149 3 0 2 2 5 13 6 6 6 6 2 11 7 21 8 3 12 8 22 7
CGI_10000165 6 10 8 8 10 13 9 6 12 15 5 17 12 7 1 13 20 16 16 11
CGI_10000170 0 5 1 5 7 6 5 9 10 5 7 9 6 12 1 1 0 0 6 7
CGI_10000171 12 9 9 20 12 26 30 13 25 28 19 37 15 21 3 17 13 22 56 32
CGI_10000176 0 2 0 2 1 1 1 0 0 1 0 3 1 3 1 4 1 1 4 2
CGI_10000184 42 11 50 0 8 5 2 3 4 4 6 1 4 6 4 16 6 11 2 4
CGI_10000185 36 8 56 1 0 0 3 2 0 2 2 1 3 6 14 5 14 14 9 0
CGI_10000186 0 4 0 1 0 0 0 0 3 45 37 0 0 21 18 1 0 0 0 0
CGI_10000187 1 0 2 2 1 1 6 2 1 5 7 4 2 4 0 2 0 1 5 5
CGI_10000195 7 2 2 0 3 2 0 1 1 4 5 0 2 2 0 0 0 0 7 6
CGI_10000208 139 53 149 7 15 13 14 8 20 19 24 5 9 51 35 90 48 41 24 13
CGI_10000211 0 6 4 2 3 1 3 1 4 3 0 1 4 4 0 0 0 1 4 2
CGI_10000224 0 2 3 0 0 0 2 2 1 7 2 2 1 0 0 4 0 2 1 2
CGI_10000229 0 0 1 0 0 1 0 0 2 0 1 0 0 1 1 5 1 2 0 0
CGI_10000235 3 5 0 2 2 0 6 4 1 4 5 2 1 5 0 0 0 0 4 0
CGI_10000240 1 0 1 7 0 3 6 7 3 11 5 4 6 0 0 0 0 0 10 6
CGI_10000242 3 0 0 7 3 6 4 6 5 6 4 1 6 5 2 3 1 2 8 7
CGI_10000243 9 1 10 0 0 0 0 0 0 0 3 1 0 1 2 2 3 1 1 0
CGI_10000249 78 46 55 27 62 105 112 85 81 111 116 123 85 71 13 120 87 125 265 144
CGI_10000261 1 7 4 2 4 1 4 2 4 7 3 6 4 4 3 1 5 3 13 3
CGI_10000274 25 16 38 20 22 45 41 23 35 44 32 54 33 17 3 71 60 107 74 61
CGI_10000284 2 7 3 3 8 7 5 7 8 16 11 13 11 2 0 6 7 3 18 8
CGI_10000298 8 3 0 3 0 3 0 1 3 5 11 4 3 8 1 2 2 5 3 0
CGI_10000303 4 0 0 0 0 2 0 0 2 1 1 1 2 5 1 0 0 0 3 2
CGI_10000304 2 1 4 0 2 1 3 0 3 4 4 4 3 1 0 0 0 1 9 9
CGI_10000305 1 4 1 4 0 4 0 0 1 5 3 1 3 4 0 0 1 0 3 3
CGI_10000308 2 3 1 0 2 2 4 1 6 7 5 1 2 9 0 0 0 0 6 4
CGI_10000311 0 0 3 1 4 2 3 1 5 6 6 2 2 8 0 3 1 0 8 6
CGI_10000312 10 15 5 7 22 20 12 9 17 32 26 17 32 11 0 6 10 18 32 27
CGI_10000313 9 4 3 0 1 1 3 0 3 4 2 7 2 4 1 5 1 1 6 1
CGI_10000315 4 12 4 2 8 0 1 2 6 8 2 4 5 8 2 0 0 0 10 2
CGI_10000324 0 2 0 1 2 0 0 0 1 0 0 1 0 5 1 1 0 0 7 0
CGI_10000326 15 21 40 22 19 40 42 32 31 48 32 27 38 25 6 15 11 5 77 35
CGI_10000332 34 41 42 43 25 52 50 26 55 88 97 65 46 21 6 79 78 91 89 64
CGI_10000333 0 6 1 8 2 8 9 7 8 15 14 6 5 5 5 11 12 6 12 6
CGI_10000336 2 2 0 0 0 1 4 0 0 1 2 4 1 4 0 2 6 1 5 1
CGI_10000340 0 0 0 0 1 0 1 3 0 1 1 0 1 3 2 0 0 2 3 0
CGI_10000347 4 0 1 4 5 0 2 0 0 10 2 6 5 10 1 1 2 2 4 2
CGI_10000358 2 0 4 3 1 8 4 3 12 4 1 6 1 0 0 1 1 0 7 2
CGI_10000374 4 3 3 1 3 4 5 2 3 10 3 3 4 8 1 11 8 12 8 4
CGI_10000376 0 0 3 3 1 1 1 0 1 2 2 0 0 1 1 0 2 0 0 0
CGI_10000377 1 3 2 7 0 4 2 3 1 6 8 2 4 3 2 0 6 7 5 6
CGI_10000378 0 5 3 2 3 0 1 1 1 6 1 1 2 0 0 1 3 3 4 3
CGI_10000379 7 27 18 19 15 22 35 36 34 47 38 30 44 22 1 14 13 18 47 36
CGI_10000380 13 3 11 0 4 0 0 1 1 2 1 1 1 2 0 3 0 0 1 1
CGI_10000381 0 3 2 1 0 4 0 1 5 5 1 0 1 2 0 0 0 0 3 1
CGI_10000391 1 5 0 4 3 5 1 7 5 7 4 6 7 1 1 3 1 1 14 3
CGI_10000395 1 0 3 0 2 1 1 2 5 1 3 5 2 3 1 2 1 3 4 5
CGI_10000396 0 2 0 6 1 4 2 4 3 6 3 6 3 0 0 0 1 1 12 5
CGI_10000408 1 0 0 0 1 1 0 3 3 0 2 1 3 7 0 2 0 0 0 0
CGI_10000412 2 0 1 0 0 0 0 0 2 2 5 1 1 4 0 6 1 1 2 1
CGI_10000414 0 0 0 0 0 1 0 3 2 1 0 4 2 0 0 0 0 0 2 0
CGI_10000415 0 4 0 3 0 1 0 0 1 7 5 1 0 3 0 0 0 0 3 0
CGI_10000418 5 8 8 10 14 29 41 25 26 50 55 38 12 68 9 72 50 57 56 24
CGI_10000424 1 1 1 0 2 7 6 6 6 7 3 2 2 0 0 9 2 9 11 7
CGI_10000427 13 2 8 3 13 8 4 5 11 8 17 11 3 4 0 21 11 16 13 4
CGI_10000430 0 6 1 5 1 3 4 2 5 7 10 3 4 0 0 0 0 0 6 4
CGI_10000434 5 9 8 9 4 3 6 2 2 7 6 2 2 9 1 8 8 11 9 2
CGI_10000436 1 0 0 3 1 2 4 2 4 3 0 2 2 2 0 0 0 0 3 0
CGI_10000444 0 2 0 1 3 1 2 0 0 2 1 2 0 5 1 0 0 0 1 0
CGI_10000454 2 3 2 15 7 26 18 13 18 21 19 24 6 16 5 31 13 22 46 22
CGI_10000455 2 4 2 8 4 6 4 7 8 8 7 11 9 4 2 0 3 1 15 6
CGI_10000460 6 8 10 6 7 5 8 4 13 22 29 8 8 8 0 2 0 1 13 6
CGI_10000466 4 1 1 1 1 4 3 5 1 5 3 4 2 0 0 0 2 3 3 3
CGI_10000476 0 0 0 0 1 3 3 3 3 7 5 2 0 1 1 2 2 2 4 0
CGI_10000477 1 0 4 0 0 2 0 0 2 1 2 0 3 4 1 1 0 4 3 1
CGI_10000478 2 1 10 0 0 0 0 1 1 0 0 2 0 2 0 1 4 0 0 1
CGI_10000504 1 3 4 5 1 2 2 3 9 4 1 8 2 1 0 1 1 2 10 5
CGI_10000510 7 9 14 17 7 5 11 5 12 10 6 5 5 4 0 13 13 16 12 6
CGI_10000520 85 92 87 119 117 193 155 111 161 222 211 208 158 160 25 108 39 65 386 211
CGI_10000526 5 8 2 5 7 15 12 6 13 13 11 20 11 18 1 8 4 14 29 13
CGI_10000532 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 5 0 0
CGI_10000533 1 7 2 0 0 0 1 1 0 1 6 2 0 0 0 1 0 0 2 0
CGI_10000537 5 11 2 10 9 14 15 13 7 20 26 15 14 7 2 0 0 0 23 22
CGI_10000541 3 2 9 3 3 2 6 1 1 9 6 6 1 8 4 28 17 15 7 3
CGI_10000542 3 3 4 11 5 5 1 1 6 13 9 1 7 1 0 0 3 2 8 1
CGI_10000547 11 28 18 23 22 19 30 17 29 56 46 33 30 36 5 18 12 16 40 30
CGI_10000551 7 14 8 18 4 19 10 8 9 10 10 25 11 15 2 11 3 16 20 12
CGI_10000561 1 0 0 3 2 3 0 0 6 4 2 2 3 5 0 0 0 0 1 2
CGI_10000573 2 1 0 1 2 4 1 2 1 2 1 1 2 3 0 0 0 0 3 4
CGI_10000577 10 16 17 7 8 14 9 6 12 22 10 10 12 21 3 21 13 17 19 6
CGI_10000578 8 20 9 8 22 28 26 26 22 26 22 21 18 13 4 2 1 2 37 15
CGI_10000579 2 1 4 1 1 4 6 6 6 10 14 1 6 0 0 0 0 0 11 0
CGI_10000582 1 3 2 0 1 8 3 1 3 2 2 3 4 0 0 2 0 2 6 2
CGI_10000585 1 5 3 7 6 3 7 3 1 8 7 1 2 5 0 0 0 0 6 4
CGI_10000591 13 13 27 10 11 11 10 23 20 26 39 20 20 38 2 2 3 4 28 13
CGI_10000603 1 2 2 2 3 3 6 3 4 2 5 0 4 6 0 0 0 0 8 0
CGI_10000605 2 9 7 6 8 9 12 6 17 18 29 14 12 5 4 32 21 39 16 13
CGI_10000608 7 0 1 0 4 1 0 1 0 1 1 1 1 0 0 3 0 0 1 0
CGI_10000610 25 6 42 6 4 9 12 3 4 9 7 9 6 1 1 30 20 35 9 7
CGI_10000612 3 12 5 2 7 13 10 10 6 15 18 9 11 8 0 0 1 0 10 19
CGI_10000618 25 5 22 4 5 3 9 3 1 3 7 2 4 2 6 12 11 16 3 2
CGI_10000623 0 4 1 1 3 2 3 3 4 0 8 1 3 0 0 2 2 3 15 4
CGI_10000627 2 7 2 14 6 6 15 8 10 11 14 18 17 9 2 3 2 0 18 11
CGI_10000629 13 43 20 20 21 27 36 29 60 88 95 43 45 44 8 24 20 14 87 40
CGI_10000630 0 1 4 2 1 7 9 4 4 7 3 11 4 4 2 0 0 1 16 9
CGI_10000636 5 3 10 2 4 3 8 13 9 7 4 12 4 2 0 4 2 4 9 10
CGI_10000639 0 3 3 4 3 2 4 3 2 7 5 3 9 1 0 0 3 5 9 3
CGI_10000645 8 18 12 24 18 37 40 22 28 34 34 34 40 5 0 8 15 11 53 48
CGI_10000655 0 0 3 0 0 2 5 3 2 5 2 2 1 4 0 0 1 0 11 2
CGI_10000657 1 13 0 2 2 3 8 3 4 14 8 5 6 6 0 3 2 4 13 6
CGI_10000658 1 1 0 3 1 6 5 1 4 2 0 2 5 6 0 4 2 1 11 7
CGI_10000659 72 39 126 31 16 22 33 24 30 40 36 39 28 25 9 102 70 128 65 46
CGI_10000660 4 23 0 6 8 6 10 12 13 27 23 12 11 7 0 25 20 10 23 10
CGI_10000663 1 2 6 3 1 1 2 0 0 6 8 3 2 1 0 1 1 1 3 4
CGI_10000665 4 1 0 5 1 7 2 3 5 1 2 2 6 3 2 1 1 1 6 10
CGI_10000673 5 2 3 2 4 4 2 3 6 5 5 7 7 2 0 0 0 0 3 1
CGI_10000675 15 5 31 0 5 3 4 5 1 9 12 13 13 17 4 14 8 19 12 5
CGI_10000676 13 14 3 6 8 11 12 4 13 19 18 8 7 14 3 4 5 4 12 13
CGI_10000681 1 2 11 3 4 4 5 3 6 9 5 9 5 2 0 1 0 1 8 3
CGI_10000683 4 13 5 10 12 4 8 9 12 16 16 10 10 16 1 8 3 7 16 10
CGI_10000686 13 9 11 11 13 36 15 20 23 43 41 34 22 21 2 31 23 17 64 39
CGI_10000690 6 3 9 1 5 16 6 0 11 9 6 10 8 0 0 2 7 18 19 16
CGI_10000691 7 0 6 2 2 5 2 1 3 4 1 2 3 0 0 3 6 2 6 4
CGI_10000693 1 1 0 1 8 5 5 5 2 6 7 10 4 2 0 2 2 0 25 7
CGI_10000697 1 3 3 0 1 7 2 3 8 11 6 9 5 15 0 0 0 0 3 3
CGI_10000701 5 3 10 4 9 4 21 6 12 14 12 14 7 2 0 1 1 3 11 10
CGI_10000702 4 1 7 2 5 0 5 3 6 2 7 4 6 0 2 0 1 4 11 6
CGI_10000703 2 2 2 3 3 7 6 1 1 2 6 3 6 4 0 0 0 2 3 2
CGI_10000705 3 2 11 5 1 5 2 5 1 5 10 2 0 6 0 5 2 4 9 3
CGI_10000730 8 16 7 13 17 13 15 11 24 25 34 16 19 21 2 5 1 2 29 19
CGI_10000733 5 2 1 0 2 2 8 2 2 2 4 8 2 4 1 1 0 0 2 2
CGI_10000740 10 6 12 7 15 16 23 10 24 27 20 18 20 3 0 15 8 7 43 30
CGI_10000742 0 0 1 2 1 0 0 1 0 0 2 1 0 0 1 5 1 1 0 2
CGI_10000746 15 7 18 2 2 13 3 3 5 5 18 6 3 5 2 29 19 41 19 4
CGI_10000751 5 1 2 2 5 0 3 1 1 1 0 1 2 0 0 1 0 0 2 1
CGI_10000752 11 9 7 20 16 11 11 8 12 30 20 18 15 1 0 3 1 9 31 26
CGI_10000753 0 12 0 2 1 3 3 3 7 21 13 5 2 5 0 0 0 3 9 6
CGI_10000754 7 9 4 5 0 3 6 7 9 6 7 9 5 2 2 1 0 0 10 10
CGI_10000755 12 8 7 3 3 12 3 2 12 8 9 13 6 6 0 10 2 7 21 11
CGI_10000766 0 2 2 1 3 3 3 4 6 6 6 0 2 0 0 3 3 3 5 4
CGI_10000767 0 0 3 2 3 10 5 5 4 4 5 6 4 6 3 3 0 2 10 4
CGI_10000772 2 2 0 4 3 1 0 2 0 2 3 1 2 12 0 0 1 0 3 1
CGI_10000776 5 12 8 7 19 18 26 9 13 25 20 9 7 15 0 1 1 1 21 7
CGI_10000785 2 2 1 3 0 3 1 2 2 3 6 6 4 0 1 1 0 0 7 1
CGI_10000787 4 8 8 4 8 12 18 13 16 25 15 25 17 1 0 14 6 11 40 24
CGI_10000807 0 2 0 0 0 0 0 0 0 1 1 0 0 5 2 0 0 0 2 0
CGI_10000812 14 10 18 9 7 6 10 5 9 10 7 9 6 11 2 2 1 2 10 9
CGI_10000817 2 4 5 0 0 1 0 1 1 3 0 1 1 5 1 0 0 0 2 0
CGI_10000818 7 6 9 2 4 5 4 4 4 6 9 8 3 7 0 2 1 1 16 8
CGI_10000822 4 0 2 6 1 1 6 1 5 1 6 1 1 1 0 0 0 0 3 1
CGI_10000840 5 8 6 15 9 15 13 13 11 17 11 17 19 17 4 7 2 2 22 22
CGI_10000841 2 0 3 3 4 7 5 3 4 7 4 12 5 5 1 5 0 3 17 4
CGI_10000851 7 7 9 6 5 3 8 8 10 21 17 3 13 14 2 2 4 1 16 13
CGI_10000852 1 1 2 1 0 3 1 2 0 1 1 5 0 2 0 2 6 6 2 0
CGI_10000856 2 4 3 13 7 10 7 9 8 21 25 13 13 17 3 19 18 16 12 22
CGI_10000860 13 4 29 1 2 10 12 3 7 5 10 9 9 4 1 15 28 20 21 8
CGI_10000862 1 0 5 3 2 9 10 2 8 6 6 6 8 9 0 14 15 14 13 6
CGI_10000864 54 28 89 20 30 28 27 25 37 37 34 52 42 55 8 34 38 37 55 37
CGI_10000865 81 64 179 40 41 59 81 60 78 64 68 96 45 77 25 199 152 204 143 86
CGI_10000866 3 2 5 0 0 4 0 0 0 4 5 1 4 1 1 0 0 0 4 3
CGI_10000871 2 6 2 6 3 0 4 5 1 1 2 2 3 1 0 5 7 3 3 4
CGI_10000877 10 2 8 0 2 5 2 1 0 3 1 1 5 1 0 1 2 4 3 1
CGI_10000878 4 12 6 9 8 6 8 6 6 27 18 6 9 15 3 14 8 14 12 6
CGI_10000880 0 3 1 2 1 7 1 4 1 2 2 3 1 4 0 1 0 2 7 2
CGI_10000881 0 1 2 3 2 5 3 1 1 1 1 4 1 1 0 0 1 0 5 4
CGI_10000889 6 1 4 1 4 2 5 7 6 4 0 3 4 0 0 4 2 0 4 2
CGI_10000890 6 9 4 7 6 15 12 5 15 31 21 22 13 12 3 7 0 2 25 13
CGI_10000891 1 0 1 2 0 0 1 1 0 2 1 0 1 5 0 4 0 1 5 1
CGI_10000893 0 1 4 3 1 2 5 1 1 6 1 2 0 6 2 0 0 0 4 2
CGI_10000894 2 4 6 10 4 6 4 1 9 4 7 6 8 4 0 0 1 2 11 4
CGI_10000898 6 5 2 6 8 10 22 4 19 12 14 13 12 11 0 0 1 1 28 15
CGI_10000900 2 0 1 0 1 3 2 1 1 1 2 3 2 8 3 2 2 4 3 3
CGI_10000902 5 5 5 6 5 3 9 2 6 6 8 3 10 5 3 2 2 0 5 8
CGI_10000905 2 5 1 0 0 3 5 3 1 5 7 1 1 2 0 0 0 0 7 1
CGI_10000906 3 4 1 0 4 5 4 1 1 5 8 3 4 7 7 11 10 4 12 8
CGI_10000908 3 3 1 1 1 3 5 0 4 5 10 1 4 1 1 6 5 9 8 5
CGI_10000917 3 3 2 1 4 2 1 2 3 11 10 4 1 4 0 6 5 3 5 2
CGI_10000919 1 2 0 5 3 0 2 0 1 1 2 1 4 8 1 0 1 0 3 0
CGI_10000934 1 4 6 12 8 5 13 4 3 16 24 6 6 4 3 6 7 3 19 10
CGI_10000942 1 1 1 1 0 2 2 0 2 1 2 2 1 0 0 0 6 10 4 1
CGI_10000948 12 9 7 8 14 14 19 8 17 21 13 19 17 4 4 24 16 27 35 16
CGI_10000953 2 7 9 8 11 12 20 8 13 21 18 5 14 12 1 65 37 46 31 8
CGI_10000954 6 5 2 1 4 1 4 0 3 8 6 5 8 3 2 2 2 3 4 6
CGI_10000955 10 11 2 9 14 10 14 8 19 30 34 24 25 11 4 37 25 31 32 20
CGI_10000956 11 8 14 12 9 20 29 19 13 22 34 40 19 10 1 50 52 56 58 38
CGI_10000958 0 0 2 3 7 8 5 4 9 7 12 3 5 3 5 0 0 0 14 9
CGI_10000972 3 1 4 2 1 0 1 1 0 1 1 2 1 0 1 4 0 2 2 2
CGI_10000975 3 5 2 7 16 11 13 9 12 24 20 23 14 11 1 0 0 3 30 17
CGI_10000977 2 2 4 0 0 4 0 1 0 0 0 0 2 4 1 0 0 1 3 2
CGI_10000978 42 6 64 5 1 7 8 7 3 12 3 5 5 0 3 7 7 14 19 7
CGI_10000979 0 6 6 4 0 2 3 3 3 1 5 1 1 2 0 1 0 0 5 1
CGI_10000980 10 11 8 22 14 34 27 24 36 49 49 31 31 20 6 28 21 27 57 31
CGI_10000981 13 2 11 1 1 4 2 4 1 7 4 8 5 0 0 12 16 19 7 3
CGI_10000989 2 1 2 1 3 4 0 3 2 3 1 4 0 0 0 3 0 2 5 5
CGI_10000992 1 5 1 5 0 1 1 0 2 7 3 5 0 0 0 0 1 1 2 3
CGI_10000993 4 2 0 2 5 1 2 2 5 3 3 1 5 0 0 1 0 0 4 3
CGI_10000994 0 3 1 0 1 2 5 7 1 5 4 1 2 0 0 3 1 3 3 0
CGI_10001004 5 9 6 12 8 9 11 6 13 23 20 8 11 26 2 5 6 4 18 8
CGI_10001005 0 0 0 1 3 1 3 0 3 7 3 1 0 7 0 0 0 0 3 3
CGI_10001013 7 13 6 11 9 4 10 4 11 19 20 10 12 9 0 0 0 1 19 10
CGI_10001017 0 5 1 2 0 3 2 0 5 4 4 2 5 4 0 0 2 1 11 4
CGI_10001025 3 17 4 1 7 4 5 2 8 17 13 5 7 5 0 4 5 7 10 8
CGI_10001028 272 36 353 36 42 88 66 45 39 58 37 99 51 14 12 197 203 369 157 136
CGI_10001040 14 14 11 4 11 21 14 10 18 20 27 18 15 13 3 17 12 12 39 24
CGI_10001041 0 4 0 0 1 1 1 1 1 1 2 1 1 1 1 0 0 0 1 1
CGI_10001045 5 0 15 3 5 1 3 0 2 0 3 4 0 2 1 4 2 5 6 3
CGI_10001049 19 3 33 8 13 13 20 17 12 16 22 20 15 7 3 27 15 26 32 14
CGI_10001050 4 8 10 9 13 12 13 10 9 15 5 8 14 12 0 4 4 4 18 7
CGI_10001052 0 3 1 6 0 5 5 6 0 8 7 0 7 5 0 0 0 0 4 4
CGI_10001063 0 1 0 0 1 2 3 3 3 4 0 5 1 6 0 1 0 0 7 3
CGI_10001066 4 1 1 1 3 1 0 2 1 6 2 0 3 3 0 0 0 0 5 0
CGI_10001072 3 8 2 13 3 10 9 7 11 21 15 17 12 4 0 0 1 0 16 13
CGI_10001076 4 8 23 8 11 15 16 11 16 15 20 22 11 18 3 12 17 34 35 28
CGI_10001078 3 1 6 2 4 0 0 0 0 0 0 1 0 3 0 0 3 0 2 0
CGI_10001094 1 0 0 1 1 0 0 3 4 1 1 2 0 1 0 1 0 0 0 0
CGI_10001096 6 12 6 22 22 49 31 37 35 49 49 57 36 24 1 5 4 3 97 76
CGI_10001099 4 0 7 1 6 3 1 2 9 5 2 3 4 10 1 6 5 4 13 21
CGI_10001100 2 2 3 2 8 3 11 4 9 11 11 12 12 4 0 4 3 1 20 10
CGI_10001102 7 2 7 1 2 0 2 2 1 3 6 1 6 5 1 0 0 0 7 1
CGI_10001106 2 0 0 1 4 5 1 1 2 2 4 1 4 2 0 0 0 2 5 0
CGI_10001107 2 0 0 3 3 3 2 2 2 1 3 3 0 7 0 4 0 4 6 5
CGI_10001110 73 12 85 4 3 3 4 1 2 5 1 3 1 9 2 23 22 21 6 7
CGI_10001115 1 0 2 1 1 2 1 3 1 2 4 4 3 2 0 0 1 2 2 2
CGI_10001116 12 2 16 7 4 11 7 4 7 4 11 18 7 15 1 14 11 31 14 9
CGI_10001117 6 1 0 0 1 0 0 1 0 0 0 0 0 3 1 2 1 0 0 0
CGI_10001118 1 4 7 4 0 3 3 4 8 2 2 2 8 12 1 21 6 16 10 4
CGI_10001120 3 7 1 3 2 3 2 1 2 3 2 4 2 5 1 0 1 0 6 2
CGI_10001124 10 0 3 0 1 3 2 3 5 5 2 3 3 2 0 16 12 20 5 2
CGI_10001125 16 6 24 4 24 13 20 13 12 14 20 17 27 26 3 28 27 40 40 30
CGI_10001126 125 28 153 8 8 6 17 13 15 22 22 13 18 15 6 42 32 56 24 13
CGI_10001129 8 0 13 5 5 10 10 5 4 9 6 9 6 1 0 10 8 16 14 4
CGI_10001131 0 3 0 1 1 1 2 3 0 4 0 3 5 1 0 3 11 2 8 1
CGI_10001134 4 1 4 1 0 0 1 0 0 2 3 0 0 1 1 7 7 3 0 0
CGI_10001135 8 6 7 1 2 0 6 5 8 3 12 0 1 8 5 5 6 8 7 4
