"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"10" 1 1 2 3 3 1 0 1 1 1 2 1 3 1 1 1 1 3 8 0
"10011" 0 2 2 2 0 1 1 1 4 5 0 3 0 6 1 0 0 0 4 0
"10012" 8 2 12 6 11 7 9 4 3 13 7 12 7 5 0 2 0 0 8 3
"10022" 20 9 19 4 0 6 1 1 1 4 9 3 1 0 0 9 5 11 4 3
"10024" 7 0 5 5 3 1 2 1 2 3 4 6 5 3 1 13 7 18 11 13
"10037" 6 4 8 3 2 5 3 3 3 0 1 4 4 6 2 1 4 1 10 2
"10063" 8 0 7 0 1 2 0 1 1 2 3 1 2 0 0 3 0 7 1 1
"10065" 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 5 2 6 2 0
"10077" 9 7 21 4 5 5 2 2 6 7 4 7 8 0 0 0 9 11 7 22
"10078" 8 5 6 21 18 51 44 18 33 37 36 40 27 26 6 89 76 100 91 56
"10088" 3 2 2 2 1 2 4 4 5 4 3 5 7 1 0 2 3 0 5 8
"10119" 4 3 4 0 3 0 1 1 2 1 1 4 5 7 2 1 0 0 10 6
"1012" 13 11 15 6 8 7 5 4 14 8 14 6 11 19 1 26 16 22 15 11
"10120" 4 3 5 3 4 6 13 10 8 5 5 9 4 1 1 15 13 20 18 9
"10121" 2 0 3 2 1 0 2 1 4 2 1 2 2 6 1 0 0 0 1 0
"10122" 6 4 6 2 8 7 3 2 7 8 2 6 7 7 0 2 1 1 12 6
"10123" 2 3 5 4 8 10 7 7 4 4 9 9 10 6 0 1 0 0 9 13
"10130" 1 0 1 0 0 0 0 0 2 2 0 1 0 1 1 4 1 1 0 0
"10146" 1 0 3 0 1 2 0 2 1 1 3 0 0 0 0 5 4 1 6 2
"1016" 10 1 6 3 0 0 2 1 0 1 2 0 1 0 0 2 0 0 4 1
"10162" 0 0 1 3 1 0 0 4 0 2 0 1 1 2 0 2 0 1 7 2
"10177" 10 8 13 12 9 14 19 9 6 19 12 17 12 17 5 7 3 6 19 13
"10178" 0 1 0 1 0 2 2 2 3 4 6 3 3 6 0 0 0 1 6 2
"10196" 0 4 1 0 0 2 3 2 2 2 2 1 2 2 0 0 2 0 9 5
"10197" 0 1 1 2 1 1 2 1 7 7 4 1 2 3 0 0 0 0 6 1
"10198" 1 1 1 1 0 4 5 4 5 2 2 3 3 5 0 0 0 0 11 0
"10209" 0 0 0 5 2 0 1 1 3 10 1 1 0 1 0 0 0 0 3 2
"10210" 3 9 2 9 6 8 13 12 11 17 21 12 5 15 2 27 25 21 30 10
"10225" 51 26 95 24 25 31 54 42 37 52 55 73 54 44 6 68 65 66 103 52
"10226" 4 7 5 7 2 1 4 2 10 12 7 10 8 10 0 0 0 0 6 3
"10232" 0 3 0 2 2 4 3 5 2 4 11 8 4 5 1 0 0 0 4 4
"10233" 1 3 4 0 3 3 3 1 0 2 2 0 5 3 2 2 5 9 5 2
"10235" 15 2 15 3 0 1 3 2 2 6 5 5 5 8 0 11 5 4 3 6
"10275" 8 3 18 1 0 7 3 2 3 0 4 4 2 1 2 19 11 16 20 5
"10287" 2 10 2 15 18 11 9 5 5 5 18 11 13 14 1 1 0 1 21 11
"10302" 0 0 1 8 3 6 2 7 4 7 8 4 4 0 2 0 0 0 10 6
"10303" 0 0 1 0 1 1 2 2 0 2 0 5 0 0 1 0 0 0 0 1
"10306" 4 3 6 1 10 4 13 5 11 16 14 15 16 3 1 1 1 0 19 9
"10307" 0 4 0 3 1 2 1 1 3 1 3 2 2 2 0 0 0 0 4 2
"10311" 9 1 6 0 1 4 1 3 1 1 0 3 4 0 0 9 8 9 4 1
"10346" 0 0 0 4 1 5 0 2 2 1 0 0 0 1 0 0 0 0 2 2
"10349" 6 3 8 1 0 1 0 0 2 1 0 0 1 3 1 4 0 0 5 0
"1035" 1 0 0 0 0 0 0 0 4 0 0 0 0 1 1 0 0 1 0 1
"10350" 10 2 3 2 0 1 4 1 1 3 4 0 1 0 0 4 2 7 2 2
"10417" 5 2 9 1 1 4 5 0 2 0 0 4 3 2 0 9 4 3 4 1
"10423" 2 0 1 2 3 4 4 0 0 3 5 3 3 2 0 0 1 3 5 1
"10424" 0 3 1 2 3 4 3 3 2 7 5 1 2 5 0 1 0 0 5 0
"10440" 1 0 1 1 2 2 3 5 3 6 6 3 2 3 1 0 1 1 6 1
"10442" 0 17 5 7 12 10 18 5 15 18 25 18 17 28 1 1 1 3 37 22
"10445" 0 4 1 1 2 0 0 1 0 1 5 2 5 3 0 0 1 0 4 2
"10446" 3 6 12 3 4 1 3 1 4 5 4 2 5 2 1 7 5 6 5 3
"10456" 3 1 22 4 3 4 4 1 1 1 1 3 7 2 0 8 1 6 4 5
"10457" 6 0 17 2 0 3 1 0 5 0 4 2 1 3 2 7 6 3 0 3
"10458" 7 10 3 6 6 4 6 4 6 10 3 13 5 4 1 18 18 21 13 14
"10460" 2 0 1 1 0 2 2 1 0 4 2 3 4 2 0 0 0 0 4 5
"10464" 116 15 161 13 17 17 36 24 18 38 25 30 30 28 8 92 55 77 39 26
"10465" 27 9 44 4 6 6 7 5 7 12 3 6 9 13 4 19 13 31 13 6
"10482" 2 2 0 7 2 1 3 1 5 4 1 4 2 1 2 1 2 1 7 3
"1050" 0 0 0 0 0 0 1 3 4 0 1 0 1 0 0 0 0 0 1 0
"10500" 34 9 75 6 7 17 10 15 8 19 13 17 14 7 5 51 51 42 39 17
"10502" 2 0 3 0 0 3 0 0 2 4 1 1 2 0 0 20 6 8 6 4
"10504" 29 22 43 15 9 17 20 11 12 23 16 16 24 15 2 7 10 8 29 29
"10508" 7 8 11 1 4 7 7 3 2 11 10 11 4 2 0 5 2 7 12 10
"10510" 5 1 6 2 2 1 2 1 1 1 0 1 2 0 0 1 0 1 4 1
"10513" 2 1 3 3 9 4 7 8 4 4 10 7 8 3 2 0 2 1 4 1
"10514" 1 10 4 1 1 3 3 0 1 2 3 2 3 1 1 0 1 0 2 4
"10515" 6 7 2 5 11 12 9 9 12 13 15 16 11 6 0 30 19 40 37 11
"10516" 0 3 1 3 1 5 5 2 5 8 2 4 2 2 2 2 1 2 9 1
"10529" 4 0 1 1 0 0 1 1 3 1 1 0 4 0 0 7 0 1 0 2
"10533" 3 4 0 5 2 5 8 8 6 9 16 9 7 6 0 1 0 0 11 7
"10549" 4 4 12 1 2 10 5 6 6 3 5 10 2 2 0 4 1 9 16 4
"10550" 5 4 2 4 2 6 7 7 9 12 7 11 7 9 0 5 1 2 18 5
"10558" 5 0 3 0 0 0 0 0 0 0 0 0 1 0 1 1 0 3 0 1
"10576" 0 2 0 1 7 5 3 8 5 8 7 7 5 7 1 1 0 1 6 7
"10578" 2 2 3 6 3 4 8 5 5 2 7 6 4 1 0 1 0 3 16 5
