GeneID	expov	exp2-8cells	expmo	expbl	expga	exptr	expdl	expsp	expmoydev
CGI_10000001	71.37156024	112.4182083	136.9211137	150.2720366	168.532528	351.8708021	468.4148706	292.639918	240.1527825
CGI_10000002	5.139902526	0.438037774	1.091509669	0.714636696	1.043852192	0.696405759	1.830903641	4.425513514	1.462979892
CGI_10000003	0	0	0	0	0	0.454093399	0.819014765	7.109936843	1.197577858
CGI_10000004	2.393828729	5.431383529	5.619580941	1.455858581	1.925891517	2.534819025	1.982862573	1.511483077	2.923125606
CGI_10000005	0	0	0.254302274	0.131302781	0	0	0	0	0.055086436
CGI_10000009	5630.37383	5963.023723	3652.037946	5460.999207	4889.763373	3218.717983	2707.729599	166.0832	3722.622147
CGI_10000010	35478.92642	32244.02718	21826.57043	29509.33041	27351.65523	19570.7363	17634.51674	728.9431173	21266.53992
CGI_10000011	0	0	0	0	0.077889063	0.082830009	0.281979197	3.878147369	0.617263662
CGI_10000012	0	0	0	0	0	0	0	0	0
CGI_10000013	170.2048913	109.4617307	92.59162238	56.36575201	73.77260895	119.7359196	103.0713234	149.0635035	100.5803515
CGI_10000014	40615.14633	38867.11878	26214.58824	36316.44543	31959.71665	22975.6969	19338.83506	1021.883852	25242.0407
CGI_10000015	26.19509552	233.7676219	258.3030633	167.1089536	123.4915344	101.5865285	83.91349076	58.55088485	146.6745825
CGI_10000016	0	0	0	0	0	0	0.286114193	0.5848	0.124416313
CGI_10000017	91.89731764	67.9443046	68.98173412	23.98747722	9.405842172	18.85142589	21.57534918	16.1546094	32.4143918
CGI_10000018	0	0	0	0	0.174104964	1.492050052	4.172153552	19.5048	3.620444081
CGI_10000019	17.95371547	20.83134477	97.6717863	16.12327581	7.601552725	9.693610219	10.79231412	7.872307693	24.36945595
CGI_10000021	0	2.931594331	1.865309899	1.098373485	0.617216604	0.668094575	1.230572397	8.408475676	2.402805281
CGI_10000024	0.879089646	0.667986555	0.423992054	1.120146406	0.841023863	0.943403234	0.690147894	2.220257627	0.986708233
CGI_10000025	522.3918401	131.0500013	106.4875568	36.30135354	8.960788468	2.190870447	0.316308696	0.642133333	40.84985893
CGI_10000026	15.77500038	28.31649174	15.78282384	34.62716804	40.72606284	48.67663683	77.64340337	52.29243871	42.58071791
CGI_10000027	0	0	0	0	0	0	0.034565824	0	0.004937975
CGI_10000028	4.164446572	4.609384221	3.544016889	2.325489578	2.528035685	2.480923078	7.313314825	15.41823066	5.459913562
CGI_10000029	0	0	0	0	0	0	1.91697052	3.311676405	0.746949561
CGI_10000030	12.82714677	13.61605526	25.36521612	50.63188405	66.42114449	32.51598423	23.17742271	52.29243871	37.71716365
CGI_10000031	27.84400784	35.91753341	30.17922019	17.53932013	15.29066008	16.01497714	23.45860791	32.5764379	24.42525096
CGI_10000032	0	0	2.975063159	1.333296526	0.686595327	8.362156588	9.566861548	57.04629678	11.42432428
CGI_10000033	169.3686786	32.1418018	42.03885771	82.8457702	139.7619403	296.740075	644.8704132	2210.978719	492.7682253
CGI_10000034	0	0	3.422929831	2.397682363	0.815607656	1.293669664	2.289144444	18.1288	4.049690566
CGI_10000035	418.8803946	230.4368039	118.8451912	29.24396542	14.56363788	8.29997178	6.916341591	0.813298013	58.4456014
CGI_10000036	5.9275759	0.694602756	2.208689785	2.461667113	5.383010528	2.543165558	11.23759167	15.43872	5.709635345
CGI_10000037	0.426883038	0.293301886	0.241856988	0.034487042	0.048720731	0	0.164795313	0	0.11188028
CGI_10000038	4.862464605	2.219846326	2.910262707	32.81747986	74.9636366	66.53218723	131.9835136	35.3073	49.53346091
CGI_10000039	0	0	0	0.199532169	0.407803828	0	0.099616058	8.187200001	1.270593151
CGI_10000040	0	0	0	0	0	0	0	2.8896	0.4128
CGI_10000041	253.8304755	136.9486299	108.00434	142.3631248	192.4198413	210.6084049	417.0426987	908.0349091	302.2031355
CGI_10000042	52476.51842	51569.9975	33278.52554	47525.48078	41985.41687	30713.04886	25729.13924	1363.320415	33166.41846
CGI_10000043	0.586059764	0.530635727	0.924595908	0.770850031	0.654619171	2.262349857	4.1556927	5.828176272	2.160988524
CGI_10000044	0.328267653	0	0.371969924	1.003672568	1.450705091	2.251642213	6.096650801	33.88878988	6.437632925
CGI_10000045	51.37232446	23.70425598	28.21802805	53.55708471	77.82436222	92.15231169	122.7595765	105.73184	71.99249417
CGI_10000046	0	0	0	0	0.204123061	0.108535873	4.648065255	48.27624828	7.605281781
CGI_10000047	0	0	0	0	0	0	0.04063202	0	0.005804574
CGI_10000048	27715.32788	32565.46276	18462.37951	28697.82911	24873.67605	18352.60176	15146.67473	855.5624001	19850.59805
CGI_10000049	38.1369773	22.26152981	25.16987296	29.0266971	48.71332353	52.9674228	32.11632937	30.3408	34.37085365
CGI_10000050	54.95023064	31.71834557	75.29478833	166.1313526	249.4231219	200.3155121	186.0092166	263.1410335	167.4333387
CGI_10000051	1.540582845	3.271185782	6.481325773	10.56280889	10.19512189	10.10834213	25.33204717	34.5321505	14.35471173
CGI_10000052	0.239015157	0.216411345	0	3.574456502	12.33767697	25.43098194	69.1527261	45.27483871	22.28387022
CGI_10000053	0	0.084707653	0	0	0.04125135	0.027631515	0.164413046	2.225092683	0.363299464
CGI_10000054	0	0	0	0	0	0	0	0	0
CGI_10000055	2878.768339	1889.702948	2349.568344	2775.626215	3209.786408	3067.368101	2187.683626	1594.890464	2439.232301
CGI_10000056	17.28876304	18.87348452	33.26893253	23.26085573	15.31899615	7.759776989	11.25470782	13.73336774	17.63858878
CGI_10000057	17.83544329	21.32633328	101.250965	15.68482226	6.514034416	9.013947435	10.0017424	6.601536759	24.34191165
CGI_10000058	17.64523238	17.79941279	27.82358077	11.01694505	7.154058442	9.274069059	6.139286616	4.557822681	11.96645363
CGI_10000059	8.542682914	9.509494563	13.46658017	10.01539811	5.422901071	2.264854553	1.892734251	3.46752	6.57706896
CGI_10000060	0	0.064530386	0	0.023875644	0.299972498	3.91573471	35.65865238	29.11004445	9.867544295
CGI_10000061	2.305168405	0	0.110502349	0.076185585	0	0	2.448067417	20.74090667	3.339380288
CGI_10000062	0	0	0	0	0	0	0.093163055	11.43964932	1.647544624
CGI_10000063	49.93338394	50.60590891	49.59310336	30.21988713	33.05914538	36.19798106	43.54884439	60.10726957	43.33316283
CGI_10000064	1.728876304	1.853953479	0.622846569	0.279600891	0.629687839	0.088113833	0.306528311	0	0.540104417
CGI_10000066	8.64438152	1.933650757	2.377550519	3.838753147	18.95627619	52.13110204	73.28218898	620.4078223	110.418192
CGI_10000067	0.447123182	0	0.085734581	0.276041231	9.089222593	98.20633138	170.5082872	130.0070897	58.31038666
CGI_10000068	35619.33414	33987.49485	22842.4079	31737.32506	27958.35719	20046.53495	16939.71759	887.8563556	22057.09913
CGI_10000069	0	0	0	0.045109886	0	0	0.17206985	4.201326316	0.63121515
CGI_10000070	61.96656648	51.19802593	48.78087853	19.99214814	9.770554083	9.363571753	11.31876549	10.34172632	22.96652432
