GeneID	variants
CGI_10000009	1
CGI_10000014	1
CGI_10000021	1
CGI_10000031	3
CGI_10000032	1
CGI_10000035	1
CGI_10000041	1
CGI_10000042	1
CGI_10000044	1
CGI_10000045	1
CGI_10000049	3
CGI_10000053	1
CGI_10000055	7
CGI_10000061	1
CGI_10000066	1
CGI_10000073	1
CGI_10000075	1
CGI_10000077	5
CGI_10000082	3
CGI_10000085	3
CGI_10000087	2
CGI_10000094	1
CGI_10000096	2
CGI_10000097	2
CGI_10000103	1
CGI_10000106	1
CGI_10000110	2
CGI_10000116	6
CGI_10000118	1
CGI_10000120	2
CGI_10000125	1
CGI_10000131	1
CGI_10000132	1
CGI_10000134	9
CGI_10000145	1
CGI_10000147	4
CGI_10000149	7
CGI_10000151	5
CGI_10000153	3
CGI_10000156	2
CGI_10000157	1
CGI_10000168	2
CGI_10000172	2
CGI_10000175	2
CGI_10000186	1
CGI_10000187	4
CGI_10000194	2
CGI_10000201	2
CGI_10000209	1
CGI_10000210	1
CGI_10000215	1
CGI_10000217	3
CGI_10000219	8
CGI_10000226	1
CGI_10000229	16
CGI_10000231	1
CGI_10000232	2
CGI_10000239	1
CGI_10000244	9
CGI_10000247	1
CGI_10000248	1
CGI_10000266	1
CGI_10000270	1
CGI_10000272	2
CGI_10000273	1
CGI_10000276	2
CGI_10000280	1
CGI_10000281	1
CGI_10000286	16
CGI_10000289	6
CGI_10000291	3
CGI_10000294	1
CGI_10000300	2
CGI_10000301	4
CGI_10000303	3
CGI_10000305	1
CGI_10000307	1
CGI_10000309	2
CGI_10000310	2
CGI_10000312	1
CGI_10000315	1
CGI_10000317	7
CGI_10000318	3
CGI_10000321	2
CGI_10000325	1
CGI_10000329	6
CGI_10000331	1
CGI_10000334	8
CGI_10000336	1
CGI_10000338	1
CGI_10000339	2
CGI_10000340	1
CGI_10000341	2
CGI_10000343	1
CGI_10000347	1
CGI_10000348	4
CGI_10000350	14
CGI_10000357	3
CGI_10000362	4
CGI_10000374	45
CGI_10000376	1
CGI_10000377	6
CGI_10000380	2
CGI_10000381	2
CGI_10000384	3
CGI_10000388	4
CGI_10000389	8
CGI_10000391	1
CGI_10000393	2
CGI_10000402	2
CGI_10000404	1
CGI_10000406	5
CGI_10000408	1
CGI_10000411	2
CGI_10000418	1
CGI_10000426	30
CGI_10000427	3
CGI_10000428	3
CGI_10000433	1
CGI_10000437	5
CGI_10000440	2
CGI_10000441	3
CGI_10000443	145
CGI_10000456	1
CGI_10000460	10
CGI_10000462	2
CGI_10000463	1
CGI_10000466	1
CGI_10000467	1
CGI_10000472	1
CGI_10000476	1
CGI_10000477	1
CGI_10000478	4
CGI_10000483	1
CGI_10000485	1
CGI_10000486	21
CGI_10000487	1
CGI_10000492	6
CGI_10000494	1
CGI_10000497	3
CGI_10000498	1
CGI_10000508	4
CGI_10000509	2
CGI_10000513	1
CGI_10000520	2
CGI_10000523	2
CGI_10000536	1
CGI_10000537	1
CGI_10000539	1
CGI_10000542	1
CGI_10000552	20
CGI_10000553	1
CGI_10000556	1
CGI_10000557	1
CGI_10000560	2
CGI_10000561	1
CGI_10000575	3
CGI_10000577	5
CGI_10000580	3
CGI_10000581	2
CGI_10000587	3
CGI_10000590	4
CGI_10000595	4
CGI_10000596	1
CGI_10000601	1
CGI_10000602	6
CGI_10000603	1
CGI_10000605	1
CGI_10000608	3
CGI_10000611	1
CGI_10000613	6
CGI_10000615	2
CGI_10000619	6
CGI_10000630	1
CGI_10000633	3
CGI_10000634	1
CGI_10000635	3
CGI_10000637	1
CGI_10000639	2
CGI_10000644	1
CGI_10000646	1
CGI_10000655	5
CGI_10000658	2
CGI_10000661	1
CGI_10000662	5
CGI_10000669	2
CGI_10000671	1
